Planet Name,Num Stars
Kepler-1670 b,1
Kepler-1671 b,1
Kepler-1672 b,1
Kepler-1673 b,1
Kepler-1674 b,1
Kepler-1675 b,1
Kepler-1676 b,1
Kepler-220 e,1
Kepler-221 b,1
Kepler-221 c,1
Kepler-285 c,1
Kepler-28 c,1
Kepler-280 b,1
Kepler-280 c,1
Kepler-281 b,1
Kepler-281 c,1
Kepler-282 b,1
Kepler-282 c,1
Kepler-282 d,1
Kepler-282 e,1
Kepler-283 b,1
Kepler-283 c,1
Kepler-284 b,1
Kepler-284 c,1
Kepler-285 b,1
Kepler-286 b,1
Kepler-291 b,1
Kepler-286 c,1
Kepler-286 d,1
Kepler-286 e,1
Kepler-287 b,1
Kepler-287 c,1
Kepler-288 b,1
Kepler-288 c,1
Kepler-288 d,1
Kepler-289 b,1
Kepler-289 c,1
Kepler-289 d,1
Kepler-29 b,1
Kepler-29 c,1
Kepler-290 b,1
Kepler-28 b,1
Kepler-279 d,1
Kepler-279 c,1
Kepler-279 b,1
Kepler-267 d,1
Kepler-268 b,1
Kepler-268 c,1
Kepler-269 b,1
Kepler-269 c,1
Kepler-27 b,1
Kepler-27 c,1
Kepler-270 b,1
Kepler-270 c,1
Kepler-271 b,1
Kepler-271 c,1
Kepler-271 d,1
Kepler-272 b,1
Kepler-272 c,1
Kepler-272 d,1
Kepler-273 b,1
Kepler-273 c,1
Kepler-274 b,1
Kepler-274 c,1
Kepler-275 b,1
Kepler-275 c,1
Kepler-275 d,1
Kepler-276 b,1
Kepler-276 c,1
Kepler-54 d,1
Kepler-277 b,1
Kepler-277 c,1
Kepler-278 b,1
Kepler-278 c,1
Kepler-290 c,1
Kepler-291 c,1
Kepler-221 d,1
Kepler-308 c,1
Kepler-304 c,1
Kepler-304 d,1
Kepler-304 e,1
Kepler-305 b,1
Kepler-305 c,1
Kepler-305 d,1
Kepler-305 e,1
Kepler-306 b,1
Kepler-306 c,1
Kepler-306 d,1
Kepler-306 e,1
Kepler-307 b,1
Kepler-307 c,1
Kepler-308 b,1
Kepler-309 b,1
Kepler-292 b,1
Kepler-309 c,1
Kepler-31 b,1
Kepler-31 c,1
Kepler-31 d,1
Kepler-310 b,1
Kepler-310 c,1
Kepler-310 d,1
Kepler-311 b,1
Kepler-311 c,1
Kepler-312 b,1
Kepler-312 c,1
Kepler-313 b,1
Kepler-313 c,1
Kepler-314 b,1
Kepler-304 b,1
Kepler-303 c,1
Kepler-303 b,1
Kepler-302 c,1
Kepler-292 c,1
Kepler-292 d,1
Kepler-292 e,1
Kepler-292 f,1
Kepler-293 b,1
Kepler-293 c,1
Kepler-294 b,1
Kepler-294 c,1
Kepler-295 b,1
Kepler-295 c,1
Kepler-295 d,1
Kepler-297 b,1
Kepler-297 c,1
Kepler-298 b,1
Kepler-298 c,1
Kepler-298 d,1
Kepler-299 b,1
Kepler-299 c,1
Kepler-299 d,1
Kepler-299 e,1
Kepler-30 b,1
Kepler-30 c,1
Kepler-30 d,1
Kepler-300 b,1
Kepler-300 c,1
Kepler-301 b,1
Kepler-301 c,1
Kepler-301 d,1
Kepler-302 b,1
Kepler-267 c,1
Kepler-267 b,1
Kepler-266 c,1
Kepler-238 c,1
Kepler-232 c,1
Kepler-233 b,1
Kepler-233 c,1
Kepler-234 b,1
Kepler-234 c,1
Kepler-235 b,1
Kepler-235 c,1
Kepler-235 d,1
Kepler-235 e,1
Kepler-236 b,1
Kepler-236 c,1
Kepler-237 b,1
Kepler-237 c,1
Kepler-238 b,1
Kepler-238 d,1
Kepler-266 b,1
Kepler-238 e,1
Kepler-238 f,1
Kepler-239 b,1
Kepler-239 c,1
Kepler-24 b,1
Kepler-24 c,1
Kepler-24 d,1
Kepler-24 e,1
Kepler-240 b,1
Kepler-240 c,1
Kepler-241 b,1
Kepler-241 c,1
Kepler-242 b,1
Kepler-242 c,1
