Planet Name,Num Stars,Num Planets,Orbital Period Days
7 CMa b,1,2,735.1
IC 4651 9122 b,1,1,734.0
BD+48 740 b,1,1,733.0
HD 23079 b,1,1,730.59998
GJ 687 c,1,2,727.562
BD-00 4475 b,1,1,723.2
BD-13 2130 b,1,1,714.29999
HD 47536 b,1,1,712.13
HD 11977 b,1,1,711.0
HD 82886 b,1,1,705.0
Kepler-421 b,1,1,704.1984
GJ 317 b,1,2,695.66
75 Cet b,2,1,691.9
HD 152581 b,1,1,686.5
HD 38801 b,1,1,685.25
HD 47366 c,1,2,682.85
HD 34445 f,1,6,676.8
HD 14787 b,1,1,676.6
Kepler-419 c,1,2,675.47
HD 206610 b,1,1,673.2
HD 220074 b,1,1,672.09998
HD 116029 b,2,2,670.0
HD 113538 b,1,2,663.2
BD-17 63 b,1,1,655.6
HD 27969 b,1,1,654.5
HD 141937 b,1,1,653.21997
HD 210193 b,1,1,649.918
HD 133131 A b,2,3,649.0
HD 96127 b,1,1,647.29999
HD 160691 b,1,4,643.25
HD 164604 b,1,1,641.472
Kepler-150 f,1,5,637.2093
HD 5319 b,1,2,637.1
tau Cet f,1,4,636.13
Kepler-68 d,2,3,634.6
alf Tau b,2,1,628.96
HD 183263 b,1,2,626.51599
HD 17674 b,1,1,623.8
BD+20 2457 c,1,2,621.99
HD 331093 b,1,1,621.62
HD 7199 b,1,1,615.0
HD 112640 b,1,1,613.2
HD 113996 b,2,1,610.2
HD 200964 b,1,2,606.3
bet Cnc b,2,1,605.2
HD 10180 g,1,6,604.67
GJ 163 d,1,3,603.95116
HD 60532 c,1,2,600.1
GJ 649 b,1,1,598.3
HD 20782 b,2,5,597.0643
eps Tau b,1,1,594.9
HD 62509 b,1,1,589.64
WASP-47 c,1,4,588.5
HD 40956 b,1,1,578.6
17 Sco b,1,1,578.38
BD+20 274 b,1,1,578.2
HD 65216 b,3,2,577.6
HD 1605 b,1,2,577.2
KIC 9663113 b,1,2,572.3847
