Planet Name,Planet Host,Num Planets,Orbital Period Days,Equilibrium Temperature,Distance,Mass
NGC 2682 Sand 364 b,NGC 2682 Sand 364,1,121.71,,817.192,2126.2827
HD 233604 b,HD 233604,1,192.0,,847.058,2089.644
HD 11977 b,HD 11977,1,711.0,,67.9331,2080.0
HD 147018 c,HD 147018,2,1008.0,,40.4256,2080.0
HD 60292 b,HD 60292,1,495.4,,315.211,2065.895
alf Tau b,alf Tau,1,628.96,,20.4332,2056.3601
HD 1666 b,HD 1666,1,270.0,,117.908,2040.0
BD+03 2562 b,BD+03 2562,1,481.9,,1070.63,2034.112
HD 10697 b,HD 10697,1,1075.69,,33.1205,2028.70889
TOI-628 b,TOI-628,1,3.4095675,1586.0,178.68,2011.8639
IC 4651 9122 b,IC 4651 9122,1,734.0,,859.324,2002.329
HD 113996 b,HD 113996,1,610.2,,116.334,2002.329
COCONUTS-2 b,COCONUTS-2 A,1,402000000.0,434.0,10.8864,2002.31896
YSES 2 b,YSES 2,1,,,109.406,2002.31896
UZ For b,UZ For,2,5840.0,,,2002.2
HR 8799 b,HR 8799,4,170000.0,,41.2441,2000.0
HD 2039 b,HD 2039,1,1120.0,,85.6922,1999.1507
Qatar-4 b,Qatar-4,1,1.8053564,1385.0,329.036,1938.763
TYC 0434-04538-1 b,TYC 0434-04538-1,1,193.2,,613.422,1938.763
bet UMi b,bet UMi,1,522.3,,38.77472,1938.7
DP Leo b,DP Leo,1,10220.0,,305.684,1922.79
HD 145377 b,HD 145377,1,103.95,,53.4884,1913.3366
TOI-559 b,TOI-559,1,6.9839095,1180.0,233.266,1910.14873
Kepler-46 b,Kepler-46,3,33.60134,543.0,777.06,1907.0
HD 238914 b,HD 238914,1,4100.0,,519.452,1906.98
HIP 65891 b,HIP 65891,1,1084.5,,150.292,1906.98
TYC 8998-760-1 c,TYC 8998-760-1,2,,1240.0,94.6177,1906.98
Ross 458 c,Ross 458,1,,,11.5094,1906.98
HD 66141 b,HD 66141,1,480.5,,68.1509,1906.9
HIP 67851 c,HIP 67851,2,2131.8,,64.1181,1900.6234
HD 70573 b,HD 70573,1,851.8,,59.182,1900.0
HD 33142 c,HD 33142,2,834.0,,121.375,1897.4451
